,,transaction_value,transaction_value,transaction_value,transaction_value,transaction_value,transaction_value
Grant Tanner,joseph89,4495,5793,0,0,10715,0
Greg Frye,vriley,0,14197,5186,5970,0,14718
Gregg Stein,timothy90,1990,13415,0,18172,15514,9133
Gregg Wilson,egarza,0,2140,7239,18422,5576,1197
Gregory Bush,elizabeth14,9737,0,0,14095,0,15445
Gregory Caldwell,nicholsonkayla,2799,3596,5793,10517,0,7167
Gregory Conley,andreamoore,6199,8387,0,0,1896,0
Gregory Cox,karenjenkins,0,14313,15357,17137,0,0
Gregory Davenport,uclark,1399,13251,16041,0,0,11794
Gregory Duran,ibrown,0,0,6470,0,0,0
Gregory Ford,srollins,0,0,14603,10234,0,8774
Gregory Fowler,llowe,16250,0,14715,4693,8045,1647
Gregory Hansen,kellymiller,0,5897,8474,0,16550,11867
Gregory Harris,dennis54,15646,25475,7296,10470,4498,998
Gregory Henderson,natalie60,3048,0,16094,9795,11890,0
Gregory Horton,kayla76,0,1598,1499,10477,13856,5995
Gregory Houston,veronicaaguilar,0,13868,4096,9476,16578,4696
Gregory Jones,victoriagraham,7982,0,11272,14177,23455,2790
Gregory Klein,brownpamela,0,13953,0,0,10166,0
Gregory Lester,frostrobert,11285,3894,1699,22714,3000,0
Gregory Love,julieburns,0,7943,10966,16657,19654,3150
Gregory Lozano,nnoble,2248,21207,15455,7150,4194,12475
Gregory Luna,mariagilbert,18178,6044,15594,0,7599,0
Gregory Miller,perezchad,1598,18256,7960,12643,0,5996
Gregory Parrish,cholmes,6337,8065,0,23593,5749,8389
Gregory Petty,wbaird,0,7998,199,0,5279,8076
Gregory Ponce,juliatownsend,0,11100,0,4796,14956,4193
Gregory Ramirez,don56,3000,2997,10058,21653,17053,25254
Gregory Reyes,chelsea60,2098,0,0,2598,16485,17937
Gregory Smith,stephen43,6193,1797,3000,8166,199,13955
Gregory Thompson,powelljason,0,12112,18658,7960,0,10676
Gregory Wilson,ahiggins,4500,0,0,9389,1099,22151
Gregory Wood,ldurham,16069,0,2798,4996,13023,17555
Guy Cook,yholt,7164,0,0,4430,4592,9341
Guy Hill,debbiejones,1197,450,5291,0,19382,19063
Hailey Curtis DDS,ebryant,0,597,2000,4986,13253,0
Hailey Juarez,emiranda,6299,4697,3992,17260,9196,6000
Hailey Tran,justin38,20300,0,3000,26965,16496,4789
Hailey Williams,michellebuchanan,10759,0,14156,150,11173,11888
Haley Duncan,abigailramos,3148,10390,20063,3347,1396,4997
Haley Estrada,brandon06,10276,0,0,699,0,1896
Haley Goodwin DVM,fhurley,12766,0,4496,7096,7296,0
Haley Taylor,jasmine83,11970,19950,11496,6646,6680,7792
Hannah Ballard,johnsonwendy,7773,15453,0,0,8098,21935
Hannah Barber,jamesfigueroa,12055,3847,6576,5995,0,799
Hannah Brown,faguilar,9345,0,4000,20606,10118,13899
Hannah Gentry,xjennings,10873,7547,14159,5079,18354,0
Hannah Hill,jill15,8759,14877,7495,500,0,0
Hannah Hull,velezsamantha,3046,150,6600,1990,5799,4088
Hannah Miller,warrentyler,5146,4599,600,11217,799,4748
Hannah Murillo,lwilson,2300,600,0,0,0,8435
Hannah Phillips,nicholascase,699,6993,15136,3398,12047,3995
Hannah Rodriguez,timdixon,0,0,5893,10075,1398,1199
Hannah Rojas,beverlylarson,3697,10439,12263,21156,0,13750
Hannah Schmidt,markgardner,19166,8410,14939,17596,8397,0
Hannah Scott,jimmyfisher,3346,12007,28658,18955,5970,0
Hannah Short,jessicanash,8070,0,9367,11156,4588,7764
Hannah Thompson,zcamacho,16328,17286,0,0,6998,0
Hannah Wallace,thomasbrian,12184,3799,9356,3980,15771,7694
Hannah White,brianward,14295,8960,7677,2746,7470,5338
Hannah Wolfe,hjones,22558,2645,9664,13857,0,5300
Harold Benjamin,sean59,9930,0,10274,17707,6194,2396
Harold Vargas,wclay,4430,4500,12793,0,7843,20951
Harry Cook,kingmelissa,0,8600,0,799,10068,2449
Harry Dalton,josephhenderson,0,7000,1096,3195,16563,7246
Harry Watson,tsandoval,11166,18288,7495,9766,0,0
Harry Winters,cooperchad,0,3398,0,0,11691,0
Hayden Hill,frank46,5037,0,597,0,8857,14545
Hayley Smith,murraysergio,0,9785,0,9696,2150,199
Heather Alexander,nicolejordan,8126,16905,0,6048,6294,2346
Heather Anderson,morenotimothy,11742,0,0,18656,0,0
Heather Barnes,ngarcia,8896,9638,6500,5193,0,9192
Heather Brennan,bbrooks,13616,0,5245,3447,15460,2397
Heather Brooks,upineda,7348,2388,14362,0,0,9076
Heather Chavez,justincross,11589,10930,0,398,5186,3494
Heather Cunningham,jmorris,0,6000,0,10294,0,0
Heather Davis,kevinross,2097,5741,9616,0,4897,12280
Heather Edwards,jimanderson,3440,2998,15683,13427,5498,5696
Heather Flores,contrerasjulie,6580,5897,14084,3196,5743,0
Heather Flores,wmiller,16661,20868,3995,7895,1097,0
Heather Ford,tracy06,9517,0,9920,0,0,20702
Heather Fox,louispruitt,8769,0,10666,15360,10654,18244
Heather Garner,nalexander,9773,8698,5995,5992,7696,15153
Heather George,brian55,0,14667,0,0,0,21254
Heather Gordon,dmendoza,6791,10082,5000,0,6647,3585
Heather Guzman,william61,21688,18858,3196,18329,0,10676
Heather Harris,huberbrenda,17185,7243,6385,19992,6042,3598
Heather Herrera,operry,6990,9867,14368,0,0,0
Heather Hoffman,mward,13848,8966,0,0,9788,2698
Heather Jones,peterroberson,17582,1990,9867,0,12169,8275
Heather Keller,moodyjonathan,1299,8719,747,23755,21096,5348
Heather Lee,aaronlewis,21335,7987,8759,4497,10643,13623
Heather Lewis,mckinneyheidi,0,0,0,15436,0,23405
Heather Lopez,michael61,2000,5544,9564,6270,16265,398
Heather Martinez,pjones,9045,21782,14070,9541,13955,9708
Heather Moore,parksrachel,0,4196,19367,17731,16563,14971
Heather Morgan,roachjonathan,0,20352,597,17588,0,3199
Heather Oneill,marybrewer,10479,5598,0,12007,10570,10444
Heather Osborn,clinton57,12997,4136,0,9916,9060,7642
Heather Parker,hamptonmark,0,4295,0,16639,799,16829
Heather Parker,sandra20,0,9449,2198,0,0,3000
Heather Parsons,carterjames,12659,5793,0,14096,6046,8269
Heather Phillips,melissa51,6696,22836,15953,1990,2796,10779
Heather Pierce,davilatina,15090,0,0,5544,5597,3996
Heather Robbins,jameslozano,15352,18798,14285,8869,3348,4296
Heather Rodriguez,ekemp,0,5970,11624,7866,3897,22955
Heather Rowland,henryshelby,0,19330,0,9297,3397,0
Heather Roy,katieterrell,9296,0,0,0,0,15145
Heather Sanchez,jeremyjackson,0,2799,0,10867,5794,2000
Heather Santiago,taylorbrian,2443,6346,21184,5970,7588,6000
Heather Santos,lisa48,19738,0,10139,11382,0,1598
Heather Shannon,patriciathomas,0,8574,2598,16148,11860,10488
Heather Smith,kbaker,0,8164,2000,300,4500,0
Heather Stevenson,dfreeman,10090,23043,15938,0,15692,8970
Heather Stewart,greenebrittany,6050,14566,12763,6570,1449,2598
Heather Vaughan,hilljamie,8686,11006,3394,1249,7280,6490
Heather White,kerrmichael,3795,3000,1299,5196,6639,5996
Heather Wilson,ccole,1500,6887,0,22352,0,0
Heather Wood,christopherbecker,17156,15538,0,19253,0,6000
Hector Hawkins,tyler60,11374,0,10179,12367,9877,15587
Hector Walters,katherinezhang,7594,0,10743,8196,0,0
Heidi Atkins,ehall,3793,17687,13392,0,1598,1997
Heidi Brown,shannonmartinez,8043,6377,8631,0,15862,13490
Heidi Collins,pwhite,6197,18275,8270,3195,0,2997
Heidi Fletcher,douglasstrickland,19455,15379,6796,6196,7889,13682
Heidi Howard,ucastillo,0,0,8294,18419,9120,4099
Heidi Jones,campbelllisa,10182,3895,3895,11542,3098,0
Heidi Miller,ramseymary,1500,0,5578,0,6120,2000
Heidi Smith,thomasmyers,0,3490,1000,7028,6696,0
Heidi Stevens,josephgonzalez,0,5196,14728,2247,0,0
Heidi Walter,rodneyrogers,13063,6796,0,0,3397,15568
Heidi Williams,christinastanley,0,5799,10093,18318,22289,2397
Helen Gonzalez,charlesmyers,19553,12610,16703,8096,14243,0
Helen Salinas,toddcampos,10807,2397,7470,15638,15653,5845
Henry Allen,shubbard,0,17858,2997,6000,1495,25725
Henry Burgess,macdonaldcheryl,0,13098,13842,6075,10716,19851
Henry Chapman,gutierrezshari,3196,8000,13593,4098,6000,4897
Henry Lawrence,jorge53,500,0,7995,10181,13427,3998
Henry Mann,lindsay32,2248,0,0,21729,1097,0
Henry Robinson,gerald56,1500,0,0,14973,398,0
Herbert Estrada,grahamkrista,4390,8795,4598,17147,9908,13941
Herbert Powell,juliawoods,0,8892,10443,3490,23019,8397
Holly Anderson,shaneschneider,0,0,1598,23750,12666,0
Holly Andrews DDS,david12,1746,11192,3395,3196,11392,2649
Holly Eaton,haynesantonio,9693,6343,11166,16352,0,18425
Holly Garcia,brittanygregory,6988,8899,14583,7398,0,3294
Holly Hamilton,gesparza,0,5794,6346,16512,21154,0
Holly Howard,david81,2994,0,0,0,6300,14888
Holly Pham,andrewjimenez,2048,9194,6000,8987,11266,8196
Holly Smith,brittney01,24146,1197,1598,9610,1598,9167
Holly Smith,shawnanderson,5297,2498,8146,8342,11912,0
Holly Thomas,brittany56,0,2290,9300,0,796,0
Howard Howard,lgriffin,17926,8438,5195,0,9859,16006
Howard Lopez,qmiranda,0,11359,9244,17369,0,0
Howard Wheeler,rodriguezpatricia,4688,0,11187,0,0,1598
Hunter Harris,romerokatie,22109,0,3897,19605,0,0
Hunter James,rodney23,0,9610,5542,4480,18893,0
Hunter Warren,lloydryan,10084,7249,0,0,25552,17894
Ian Carney,shelby76,0,5492,3196,15859,16562,0
Ian Garcia,andersonjesse,0,5970,18042,4950,199,0
Ian Garrison,tina48,12157,13395,0,14653,17485,19293
Ian Gordon,markpayne,15066,0,5130,11166,10078,15074
Ian Johnson,randy27,25201,0,11849,0,11153,15460
Ian Jones,lclark,796,6990,10686,16919,2100,7470
Ian Moore,jenniferliu,8891,19133,1998,6420,0,22302
Ian Robinson,owenderrick,5388,15516,8760,0,9891,4746
Ian Schneider,ywoods,0,12548,0,0,9097,0
Ian Sloan,harperashley,13295,4098,7694,0,18553,7889
Ian Turner,jessicamullen,11857,998,5480,0,8495,23051
Isaac Evans,richmondwilliam,698,12804,0,15353,0,0
Isaac Gibson,robert74,16916,17156,15007,4048,0,5196
Isabel Miller,elyons,5097,13548,4897,17755,5348,7193
Isaiah Bradford,michaelswanson,12460,16266,0,9095,18855,14567
Isaiah Holder,ywilliams,0,0,7090,0,0,14930
Isaiah Mendez,wmccarty,13755,10770,2394,450,3936,0
Isaiah Richards,diamond56,8598,15274,12934,17067,0,3980
Isaiah Watkins,ellenjohnson,8665,750,5279,0,0,0
Ivan Jones,stephenfox,10158,1300,5196,3796,8790,597
Jack Castillo,msantos,10873,6796,3098,7547,1748,9043
Jack Evans,doughertykeith,9945,0,19773,10392,0,1899
Jack Gonzalez,fergusonlisa,1000,14194,1246,10037,8997,12174
Jack Grant,zachary81,15797,0,36017,6394,11616,22385
Jack Herman,jasmine26,18252,23528,10718,6377,16541,10455
Jack Johnson,csaunders,3249,0,8797,8275,14466,7248
Jack Nelson,allisoncarroll,4387,0,7445,3096,10295,0
Jack Phillips,lisa72,24053,20734,0,16350,0,7898
Jack Strong,kwilson,7676,10449,8958,8294,0,17091
Jackie Johnson,paulaallen,0,2650,18769,0,6933,0
Jackie Rodriguez,davidwhite,7960,500,15872,9558,4133,9068
Jackson Davis,jonesrebecca,7960,12374,0,12570,11805,24323
Jackson Frye,denniswilliams,0,0,10823,3450,0,2598
Jackson Johnson,wallsrobert,9642,6198,24422,5898,0,11902
Jackson Lane,emilypage,3095,0,5578,6492,18580,0
Jackson Ray,marianelson,6197,9695,0,3098,3898,2450
Jackson Roberts,padillaaudrey,11490,21636,0,0,9329,0
Jackson Schwartz,christianlewis,796,1450,8098,14577,9420,9997
Jackson Smith Jr.,thompsonsamuel,5088,6689,6600,398,0,0
Jacob Anderson,dsmith,2786,15139,4793,0,7697,9259
Jacob Bailey,lawrenceteresa,12354,7100,21776,0,23723,3693
Jacob Bowers,cestrada,18846,10688,9466,2098,8067,0
Jacob Brown,bettylopez,0,799,2896,450,3599,0
Jacob Chavez,gwalker,1150,2748,2100,2599,0,16288
Jacob Cooper,michaela08,8756,12347,0,3000,2299,6392
Jacob Estrada,kmiller,9193,4048,0,0,0,0
Jacob Farmer,robertsellers,0,11015,14940,5795,13166,15790
Jacob Ferguson,rickfranco,5226,3300,0,0,9476,0
Jacob Figueroa,randall89,2598,18753,10593,6897,2199,5295
Jacob Hernandez,hpennington,3198,0,6196,199,3799,12190
Jacob Herrera,ashleyreynolds,0,14156,12612,5970,0,8196
Jacob Hobbs,philip09,7794,9043,0,14193,3894,1000
Jacob Holmes,cindypalmer,7795,1047,6595,5279,19191,0
Jacob Jennings,paulann,2100,4396,8531,0,29813,13708
Jacob Key,awilliamson,0,11562,12194,12656,0,0
Jacob Leonard,josephbennett,5092,3650,6099,8110,8568,11592
Jacob Mack,stephenharrington,7397,11833,0,12026,0,9785
Jacob Martinez,pambruce,6769,0,7784,1246,11500,4696
Jacob Mccullough,jeffreycowan,9490,12795,6000,4699,2742,450
Jacob Miller,brendakeith,0,7960,0,12068,8260,20380
Jacob Oneal,kenneth70,6950,21735,9168,0,0,5598
Jacob Phillips,ericahughes,11359,8647,12615,0,3498,14559
Jacob Reed,ybrown,25529,0,16152,0,4794,0
Jacob Reynolds,andrewgriffith,4289,3450,0,0,7495,0
Jacob Rodriguez,adam32,9060,16786,6000,20543,949,5446
Jacob Romero,christinabridges,5480,11583,7376,0,12299,14796
Jacob Shah,owilliams,3897,4479,16569,8968,0,1500
Jacob Sharp,bellvictoria,6500,0,9893,7500,8397,6000
Jacob Terry,mdavis,0,6199,0,23337,150,6097
Jacob Thompson,woodhoward,9496,17691,3500,9992,8945,0
Jacob Travis,danielsmall,4696,11940,0,9487,0,0
Jacob Wiley,jason07,8367,2548,3397,15191,5596,17493
Jacob Woods,sherryellison,19244,23271,16490,13013,10892,3396
Jacqueline Andrews,tylerlee,0,4598,6396,0,10491,2100
Jacqueline Brown,michaelkirk,0,4046,10381,0,5824,2098
Jacqueline Christian,mary19,13093,6279,27654,0,16141,0
Jacqueline Clark,megan71,14048,0,17981,8693,0,9114
Jacqueline Clark,rachel39,9470,2748,10696,7585,9063,7394
Jacqueline Davis,colekristi,18246,10816,600,2299,1600,3588
Jacqueline Davis,morrisonalyssa,3980,0,12293,7419,9348,4495
Jacqueline Griffith,jonathanmiller,3795,8696,9867,0,5296,0
Jacqueline Guzman,melissaramirez,1598,0,12383,14537,9585,11659
Jacqueline Higgins,dcarney,2500,8276,8756,3197,6944,1500
Jacqueline Holt,peterreeves,17892,6195,12374,0,23527,0
Jacqueline Hudson,jenniferpatel,0,10877,0,4699,3646,0
Jacqueline Jones,nryan,17341,0,3843,10629,3148,0
Jacqueline Knight,cjames,0,0,13930,0,1996,3894
Jacqueline Lee,matthew78,796,0,0,0,0,499
Jacqueline Malone,xwhite,11757,7929,1299,10558,0,12975
Jacqueline Murphy,hsmith,13667,9419,9212,4098,10746,11264
Jacqueline Myers,katrinasmith,12502,0,16292,1995,17704,1399
Jacqueline Rodgers,aliciabrown,8966,0,6992,6527,15082,9308
Jacqueline Schneider,walshtammy,7347,5290,13192,17151,10196,0
Jacqueline Scott,cho,14318,18518,7746,8970,17970,4492
Jacqueline Scott,deborah66,8998,0,5496,0,10190,0
Jacqueline Smith,danderson,7593,0,14303,11325,13357,16743
Jacqueline Smith,evelynjohnson,3387,0,0,2796,0,1498
Jacqueline Smith,hernandezkevin,3148,6897,8847,4698,4293,13568
Jacqueline Taylor,sarahmoss,10500,0,13892,19837,0,13887
Jacqueline Thomas,taylorjoseph,18633,6243,0,8995,2697,6377
Jacqueline Warren,smorse,12794,9480,0,8098,4197,0
Jacqueline Waters,andrew08,0,3496,11690,8397,12987,9897
Jacqueline Williams,douglas22,10904,9384,3446,0,8410,4796
Jacqueline Williams,ucampos,0,13010,0,14352,8397,16992
Jacqueline Williams,zroberts,7099,0,150,0,0,13918
Jacqueline Wu,brittanysullivan,5088,15213,4280,8386,11734,8676
Jade Mcfarland,qklein,8759,0,0,2149,0,3845
Jaime Alexander,daniel53,0,0,4094,6080,7495,0
Jaime Cobb,vmeyers,2697,0,9828,1950,0,150
Jaime Cooper,ramosdeanna,0,1396,0,7950,0,9944
Jaime Davis,tshaw,26492,16746,3897,10666,5097,15314
Jaime Guzman,strongbriana,17645,4198,11991,28932,16528,17656
Jaime Hogan,susan01,12619,6150,0,6246,8440,0
Jaime Jacobson,meyerjames,398,23621,13791,0,0,0
Jaime Middleton,alison53,0,7143,9875,16251,8930,0
Jake Chan,stephen41,3694,11578,15552,0,6444,6086
Jake Sutton,wli,5995,8792,1500,19621,14558,24312
James Allen,charlenenguyen,7589,3297,19962,18343,5295,18736
James Alvarez,karen12,1799,13347,3980,24812,6244,0
James Austin,josephosborne,14857,13312,19636,0,597,0
James Barber,michaellloyd,799,13455,19051,0,0,16111
James Blake,kenneth85,6867,500,6299,4993,4780,14492
James Blankenship,vanessa95,21998,12968,0,14575,24576,0
James Bridges,patrick66,12025,12017,11496,36463,398,7899
James Briggs,bauermanuel,8970,0,13787,13292,4299,13272
James Brown,lsingh,349,0,7841,16290,0,13777
James Brown,martha27,8067,28251,10198,2000,0,0
James Carter,swood,6092,3845,8769,0,6395,5079
James Chavez,daviddelacruz,9846,1600,3199,20643,8342,5995
James Christian,liuglenn,5150,9276,17070,6377,3000,10577
James Collier,jessicakelley,6896,15017,5897,0,3847,9383
James Collins,ebennett,2398,8989,3992,0,22547,0
James Collins,robertsstacy,15213,0,5490,0,0,22138
James Conner,kevin99,1299,0,0,7096,6799,0
James Contreras,melissa91,20353,6794,10058,7337,3696,5547
James Cook,maria77,0,0,0,1148,5696,0
James Cooper,tony84,1246,20739,1650,2000,17158,5048
James Crosby,xstone,11857,27896,0,1199,0,13095
James Dean,cherryrobert,0,4995,0,0,3397,8429
James Decker,millerlarry,3346,0,0,0,12067,5196
James Delgado,john75,23231,4699,5492,6669,597,0
James Ferguson,wattscraig,5000,5296,0,15120,23023,15730
James Fernandez,emmaturner,17226,3289,9892,0,2397,0
James Figueroa,thomasglass,15693,0,2597,16972,12062,15454
James Gallegos,marksmisty,3796,0,0,19185,3749,4348
James Garcia,byrdryan,8275,18653,6880,9686,16588,0
James Garcia,fscott,3236,8593,0,8095,7827,7043
James Gomez,odavis,23914,12270,3048,11316,0,13753
James Gonzales,tjohnson,7896,0,0,7470,0,0
James Gordon,josephhughes,19550,20543,0,2048,7795,1197
James Greene,candice44,8393,5197,0,15638,15168,7698
James Hall,greendonald,6970,3395,6576,12261,0,14863
James Hamilton,johnstonnicholas,10347,4194,0,450,300,0
James Hansen,tannerkenneth,0,5196,6142,12287,0,15329
James Harmon,amandaortega,13314,799,0,5396,0,13980
James Harris,hollandmichael,10690,450,14273,5397,2939,0
James Harris,holtadam,1500,8794,796,0,9460,3195
James Harris,stephenbenjamin,21503,14719,14687,13354,0,0
James Henderson,gutierrezlori,3990,9766,0,0,16938,4480
James Hendricks,mflores,13754,0,32209,7669,5699,4140
James Hernandez,collinsdebra,15932,9325,3196,14763,22455,17822
James Hill,barbermichelle,4096,0,11759,6500,12835,199
James Hill,vickie94,16460,12610,0,25136,10960,12585
James Hodge,rodriguezjacob,6091,0,3886,0,16930,14557
James Houston,jensenlynn,0,6120,8683,17107,3795,6397
James Howard,michaelwhite,500,15950,6295,9856,3398,4650
James Jones,agilbert,2898,14072,8759,11454,7926,18156
James Jones,hhamilton,11580,11500,13204,5248,12757,19467
James Jones,richardpope,6000,199,7842,796,4588,0
James Jordan,wwalker,3493,1990,22642,450,5196,6000
James Key,nicholasbrown,1650,6178,0,0,15756,12960
James Khan,andrew05,0,9574,15794,0,4780,2000
James Kirk,anthonylong,5970,7328,10176,5387,10588,2195
James Kramer,cbrown,12009,2799,17191,7998,0,12791
James Lam,joel18,13988,1950,7175,7568,0,1000
James Lee,christiebailey,17273,1990,0,10406,0,9460
James Li,thomaswhite,3843,0,5186,0,7470,7197
James Lowe,frodriguez,13593,15553,10063,6600,5596,18293
James Lucero,griffinisaiah,6441,7067,1500,0,600,11945
James Mack,tknight,398,25254,9784,15234,4197,0
James Marks,dunlapteresa,14166,0,0,9290,16215,0
James Marks,phillip63,0,0,16786,14352,0,12659
James Marshall,paynecassandra,0,799,9769,30523,5695,799
James Martin,freed,4898,0,6000,4896,1197,0
James Martinez,bmoore,21704,0,500,0,5694,11656
James Martinez,tammyjuarez,19652,0,6744,2046,5147,12656
James Mcclain,melissagomez,0,1000,23494,10094,6000,0
James Mckenzie,sarah98,0,9437,9987,0,21925,0
James Mcmillan,wpatel,4497,2000,8679,7398,500,0
James Moore,brios,7866,11686,6897,2500,9495,5000
James Morales,dorr,0,6098,0,0,24447,5893
James Morgan,edward96,20045,799,0,6396,0,0
James Morgan,marshdebra,1947,16987,9654,0,21588,11139
James Morrison,ashleyhughes,10066,3886,1000,16133,0,7960
James Murray,nathan38,8141,16942,11293,0,23621,12394
James Nash,rileylindsay,1699,6500,17122,10191,8630,500
James Nguyen,hesternicholas,16057,0,2299,0,0,4645
James Obrien,maria35,300,8269,6240,6077,17254,14940
James Owens,nicholasprice,0,6916,796,3196,0,25140
James Perry,dustin78,3346,0,2450,6885,21226,597
James Peterson,amanda39,0,13218,7598,7686,12793,18349
James Peterson,wedwards,0,0,6588,3247,10228,7492
James Phillips,danielwagner,4490,19003,0,12307,0,16756
James Pope,matthew71,7769,7470,6470,3196,14374,4248
James Powers,brownbryan,3598,7482,2940,0,5399,0
James Ramirez,aliciamatthews,1299,19106,16522,13690,6383,0
James Ramsey,christopherlopez,3299,7693,10346,17286,4595,11596
James Reese,martin68,13192,650,0,3494,999,3996
James Rhodes,rlewis,1500,0,0,7115,20573,796
James Roberson,bhowell,5397,4590,28802,6492,0,7866
James Robinson,saunderstracy,0,0,24465,4546,10827,1197
James Rocha,karen77,9985,8817,0,5970,5296,0
James Rosario,patrick40,0,4644,0,4897,18454,7773
James Ross,katelynrobles,9066,7567,5436,3447,5995,10180
James Sanders,greenkeith,16171,20482,19834,12687,14542,1950
James Shaffer,qwright,4048,4699,10585,9037,12890,6037
James Shannon,kyle36,15037,3897,13667,0,15232,4500
James Shannon,wdavis,0,4696,7586,11877,2789,14262
James Silva,kimberly62,0,0,8875,0,5593,0
James Simon,qdavid,597,3196,4500,11593,0,0
James Simon,tterrell,15337,0,14065,9090,1500,0
James Sims,sharonhicks,8388,11796,15328,15440,12840,11939
James Smith,ewood,796,9770,0,11172,6890,15040
James Smith,harperstephanie,16842,9093,8410,13893,2048,150
James Smith,reeddylan,6199,0,8887,10930,13008,4550
James Spencer,alyssa51,4495,4779,5500,3096,8489,10942
James Stevens,shawn97,597,12760,3996,1299,7793,1150
James Taylor,pierceeric,1598,0,13274,1598,8394,9316
James Taylor,usmith,12694,2199,0,7960,11397,11878
James Thomas,shannonbennett,4497,3300,12505,1249,3980,4797
James Thompson,ritaalvarez,10194,9867,0,2593,0,6590
James Todd,stewartmegan,6000,22274,20271,20621,597,5443
James Travis,rickeyparker,7799,6799,11471,0,12067,26841
James Tucker Jr.,btownsend,0,4347,11045,1299,5796,0
James Turner,thomas57,6570,15245,16985,16175,6992,8598
James Vasquez,brownkelly,12894,1299,13154,17050,4696,1849
James Velasquez,mstephenson,8794,20656,2547,0,10684,1598
James Wagner,francis75,6794,10774,9098,14357,4179,9494
James Walker,boydann,0,9068,10557,15460,20928,0
James Walls,kathleencunningham,6769,0,5997,0,8043,0
James Ward,jason42,6895,15555,0,7197,600,12542
James Washington,nicolesandoval,12882,5500,9896,8784,24661,14538
James Wells,lorettaaguirre,5950,3597,10708,16375,7894,7269
James Williams,foleyscott,6295,11970,7895,0,0,9796
James Wilson,mbailey,11774,16729,7292,16487,0,1000
James Wolf,steven98,14994,12780,2597,10791,18593,14464
James Wolfe,krodriguez,1249,9159,16662,7677,18955,11596
James Wright,morrismichael,1448,600,1449,4098,13018,9024
James Young,juliavelez,0,23301,10147,0,9980,13863
